p,n,DC,glasso,SCAD,adapt,n_p
25,50,0.003000000026077032,0,9.999999310821295e-4,0,50_25
25,50,0.003999999957159162,0,0,9.999999310821295e-4,50_25
25,50,0.005000000004656613,0.0010000000474974513,0,0,50_25
25,50,0.005000000004656613,0,0.0010000000474974513,0,50_25
25,50,0.0029999999096617103,0,0,0.0010000000474974513,50_25
25,50,0.003000000026077032,0,9.999999310821295e-4,0,50_25
25,50,0.003000000026077032,0,0,0,50_25
25,50,0.003000000026077032,0,0.0010000000474974513,0,50_25
25,50,0.005000000004656613,0,0.0010000000474974513,0,50_25
25,50,0.008000000030733645,0,0.0010000000474974513,0,50_25
36,50,0.006999999983236194,0.0010000000474974513,0,0.0010000000474974513,50_36
36,50,0.004000000073574483,9.999999310821295e-4,0,0.0010000000474974513,50_36
36,50,0.004000000073574483,9.999999310821295e-4,0,0.0010000000474974513,50_36
36,50,0.003999999957159162,0,0,0,50_36
36,50,0.015999999945051968,0.0010000000474974513,9.999999310821295e-4,0,50_36
36,50,0.005000000004656613,0,9.999999310821295e-4,0,50_36
36,50,0.003999999957159162,0.0010000000474974513,0,0.0010000000474974513,50_36
36,50,0.008000000030733645,0.0010000000474974513,0,9.999999310821295e-4,50_36
36,50,0.003999999957159162,0,0.0010000000474974513,0,50_36
36,50,0.006999999983236194,0.0010000000474974513,0,9.999999310821295e-4,50_36
50,50,0.011999999987892807,0.001999999978579581,0.0010000000474974513,9.999999310821295e-4,50_50
50,50,0.006999999983236194,0.0010000000474974513,9.999999310821295e-4,0.0010000000474974513,50_50
50,50,0.006000000052154064,9.999999310821295e-4,0.0010000000474974513,0.0010000000474974513,50_50
50,50,0.005999999935738742,0.0010000000474974513,0.0010000000474974513,9.999999310821295e-4,50_50
50,50,0.006999999983236194,9.999999310821295e-4,0.0020000000949949026,0,50_50
50,50,0.005999999935738742,0.0010000000474974513,0.0010000000474974513,0,50_50
50,50,0.005999999935738742,0.001999999978579581,0.0010000000474974513,0,50_50
50,50,0.006000000052154064,9.999999310821295e-4,0.0020000000949949026,0,50_50
50,50,0.005999999935738742,0.0010000000474974513,0.0010000000474974513,9.999999310821295e-4,50_50
50,50,0.006999999983236194,9.999999310821295e-4,0.0010000000474974513,0.0010000000474974513,50_50
71,50,0.013000000035390258,0.003000000026077032,0.008000000030733645,9.999999310821295e-4,50_71
71,50,0.011999999987892807,0.003000000026077032,0.001999999978579581,0.0010000000474974513,50_71
71,50,0.011999999987892807,0.003000000026077032,0.001999999978579581,9.999999310821295e-4,50_71
71,50,0.015000000013969839,0.0029999999096617103,0.003000000026077032,0.0010000000474974513,50_71
71,50,0.015000000013969839,0.003000000026077032,0.001999999978579581,0.001999999978579581,50_71
71,50,0.011999999987892807,0.003000000026077032,0.001999999978579581,9.999999310821295e-4,50_71
71,50,0.013999999966472387,0.003000000026077032,0.001999999978579581,9.999999310821295e-4,50_71
71,50,0.01800000004004687,0.003999999957159162,0.001999999978579581,0.0020000000949949026,50_71
71,50,0.012999999918974936,0.003000000026077032,0.001999999978579581,0.0010000000474974513,50_71
71,50,0.011999999987892807,0.003000000026077032,0.001999999978579581,0.0010000000474974513,50_71
100,50,0.028999999980442226,0.008999999961815774,0.005000000004656613,0.0020000000949949026,50_100
100,50,0.028999999980442226,0.007999999914318323,0.009000000078231096,0.001999999978579581,50_100
100,50,0.028000000049360096,0.006999999983236194,0.005000000004656613,0.001999999978579581,50_100
100,50,0.026000000070780516,0.007999999914318323,0.004000000073574483,0.001999999978579581,50_100
100,50,0.025999999954365194,0.007999999914318323,0.004000000073574483,0.001999999978579581,50_100
100,50,0.026000000070780516,0.006999999983236194,0.005000000004656613,0.001999999978579581,50_100
